sampleid	forward-absolute-filepath	reverse-absolute-filepath
MOCK2	/home/rpg79/FWrawreads/Plate02_A01_MOCK2_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A01_MOCK2_10484089_2373JKLT3_L7_R2.fastq.gz
99	/home/rpg79/FWrawreads/Plate02_A02_99_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A02_99_V_10484089_2373JKLT3_L7_R2.fastq.gz
107	/home/rpg79/FWrawreads/Plate02_A03_107_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A03_107_V_10484089_2373JKLT3_L7_R2.fastq.gz
115	/home/rpg79/FWrawreads/Plate02_A04_115_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A04_115_R_10484089_2373JKLT3_L7_R2.fastq.gz
128	/home/rpg79/FWrawreads/Plate02_A05_128_S_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A05_128_S_10484089_2373JKLT3_L7_R2.fastq.gz
147_1	/home/rpg79/FWrawreads/Plate02_A06_147_1_V_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A06_147_1_V_10484089_2373JKLT3_L_R2.fastq.gz
148	/home/rpg79/FWrawreads/Plate02_A07_148_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_A07_148_V_10484089_2373JKLT3_L7_R2.fastq.gz
PCRBLANK2_1	/home/rpg79/FWrawreads/Plate02_B01_PCRBLANK2_1_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B01_PCRBLANK2_1_10484089_2373JKLT3_L7_R2.fastq.gz
100	/home/rpg79/FWrawreads/Plate02_B02_100_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B02_100_R_10484089_2373JKLT3_L7_R2.fastq.gz
108	/home/rpg79/FWrawreads/Plate02_B03_108_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B03_108_R_10484089_2373JKLT3_L7_R2.fastq.gz
EB5	/home/rpg79/FWrawreads/Plate02_B04_EB5_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B04_EB5_10484089_2373JKLT3_L7_R2.fastq.gz
131	/home/rpg79/FWrawreads/Plate02_B05_131_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B05_131_R_10484089_2373JKLT3_L7_R2.fastq.gz
147_2	/home/rpg79/FWrawreads/Plate02_B06_147_2_V_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B06_147_2_V_10484089_2373JKLT3_L_R2.fastq.gz
PCRBLANK2_2	/home/rpg79/FWrawreads/Plate02_B07_PCRBLANK2_2_10484089_2373JKLT3_L_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_B07_PCRBLANK2_2_10484089_2373JKLT3_L_R2.fastq.gz
93	/home/rpg79/FWrawreads/Plate02_C01_93_R_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C01_93_R_10484089_2373JKLT3_L7_R2.fastq.gz
101	/home/rpg79/FWrawreads/Plate02_C02_101_S_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C02_101_S_10484089_2373JKLT3_L7_R2.fastq.gz
109	/home/rpg79/FWrawreads/Plate02_C03_109_V_10484089_2373JKLT3_L7_R1.fastq.gz	/home/rpg79/FWrawreads/Plate02_C03_109_V_10484089_2373JKLT3_L7_R2.fastq.gz
